language,sentences
chv,1300000.0
en,844687419.0
ru,402572100.0
bg,245421300.0
cs,452714800.0
da,234373600.0
de,1398290000.0
el,322875641.0
es,1985153428.0
et,105424044.0
fi,255706200.0
fr,1718847631.0
ga,7255713.0
hr,169977100.0
hu,312794500.0
it,807475400.0
lt,105278600.0
lv,79381200.0
mt,13358137.0
nl,656511800.0
pl,646364082.0
pt,524647800.0
ro,394241000.0
sh,3532500.0
sk,199033400.0
sl,162868900.0
sv,403247300.0
ku,745182.0
tr,462029000.0
ca,120831600.0
eo,13826500.0
no,129275300.0
en_gb,901500.0
nb_no,836700.0
af,9919500.0
am,1182300.0
ar,278563600.0
ast,4110100.0
az,7150900.0
be,8338013.0
bn,36054400.0
br,957500.0
ceb,1881941.0
cy,2858300.0
eu,25350300.0
fa,98698100.0
fy,1174100.0
gd,153458.0
gl,26308900.0
ha,931998.0
he,162878800.0
hi,53008200.0
hy,3557800.0
id,225671300.0
ig,549033.0
ilo,110700.0
is,17656700.0
ja,223229900.0
jv,2967500.0
ka,3863100.0
kk,3134200.0
km,1590400.0
ko,111388500.0
la,1193424.0
lb,689993.0
lg,51902.0
mg,2475861.0
mk,26921300.0
ml,13557300.0
mr,7134800.0
ms,30247500.0
my,1101000.0
ne,3167400.0
oc,1666338.0
om,53400.0
or,752800.0
sd,517307.0
si,11589653.0
so,1002928.0
sq,37177700.0
sr,231313829.0
su,1312131.0
sw,22882858.0
ta,30839200.0
tl,16990200.0
tt,638500.0
uk,124466000.0
ur,8961000.0
uz,368500.0
vi,167082802.0
wo,176400.0
xh,1150200.0
yi,176000.0
yo,549642.0
zh,204666700.0
zu,407379.0
ak,5639.0
as,775741.0
ay,5700.0
bm,356.0
bs,37615800.0
cb,92000.0
cx,543000.0
ff,152500.0
gu,1184300.0
ht,1416881.0
kg,25920.0
kn,1074400.0
ky,755500.0
ln,48366.0
lo,339100.0
mi,366800.0
mn,1771000.0
ns,28300.0
ny,402426.0
pa,1586000.0
ps,822444.0
qa,200.0
qd,400.0
sn,237642.0
ss,55300.0
st,2692.0
sz,19.0
te,3134000.0
tg,902464.0
th,32167900.0
ti,25000.0
tn,123343.0
ts,19603.0
tz,74.0
ve,4106.0
zh_CN,28570000.0
zh_TW,15768800.0
zz,62.0
nb,35998200.0
cn,0.0
fr_BE,0.0
nl_BE,0.0
po,0.0
tc,1200.0
en_GB,1682600.0
nn,1498400.0
pt_BR,1374200.0
wa,258813.0
aym,13500.0
fil,57100.0
jp,95300.0
tet,1777.0
zhs,400000.0
zht,400000.0
hbs,400000.0
me,69500.0
bn_IN,622400.0
crh,237018.0
csb,35263.0
hne,95701.0
hsb,65802.0
mai,466408.0
nds,893000.0
nso,104047.0
rw,456731.0
se,52600.0
zh_HK,788300.0
ab,21663.0
ace,4300.0
ach,11700.0
ady,112.0
an,346200.0
anp,900.0
arn,33.0
azz,900.0
ba,828343.0
bas,800.0
bn_bd,16000.0
bn_in,15000.0
bo,25475.0
brx,5064.0
bxr,1600.0
ca_valencia,8900.0
cak,49600.0
ckb,47300.0
cnh,857.0
co,4466.0
cv,3117.0
dsb,44864.0
dv,15230.0
ee,15726.0
en_ca,33100.0
en_za,300.0
es_ar,32400.0
es_cl,25600.0
es_mx,33200.0
fo,138800.0
frp,3641.0
fur,52234.0
fy_nl,46000.0
ga_ie,21500.0
gn,33173.0
gor,1800.0
gu_in,15000.0
gv,39246.0
hi_in,23800.0
hil,76.0
hus,437.0
hy_am,23600.0
hye,11600.0
hyw,84.0
ia,92000.0
