Name,ethnolog_Size,ethnolog_Vitality,L1 speakers,L2 speakers,New wiki,Size of Wikipedia (Articles Column),language family,geographical location,geo location analysis,LDC,Is in Google,wiki pages,natural language processing,part of speech,grammar parsing| grammar parser,question answering,text classification,universal dependencies,ACL count,Is in XLMR,ELRA,Hugginface,kaggle,CC Size,Is in Facebook,Joshi Classes,mBERT,HF new
,https://www.ethnologue.com/size-and-vitality/mdd,,,,,https://en.wikipedia.org/wiki/List_of_Wikipedias#Details_table,,,,https://catalog.ldc.upenn.edu/search,https://translate.google.com/intl/en/about/languages/,,,,,,,https://universaldependencies.org/,,https://arxiv.org/pdf/1911.02116.pdf,https://lremap.elra.info/?q=english,https://huggingface.co/datasets,https://www.kaggle.com/datasets,https://commoncrawl.github.io/cc-crawl-statistics/plots/languages,"if the language is in 'Facebook' sheet, put 1, otherwise 0",,,
,size,vitality,,,,copy two columns in sheet  'wiki',,,,,0/1,,,,,,,,,,,,,copy numbers in last column,0/1,,,
!Xóõ,small,endangered,,,,,,,,,,,9,25,0,0,0,,0,,,,,,,0,,
A-Pucikwar,small,extinct,,,,,,,,,,,1,2,0,0,0,,0,,,,,,,0,,
Aari,mid,institutional,,,,,,,,,,,63,70,1,15,8,,0,,,,,,,0,,
Aasáx,small,endangered,,,,,,,,,,,,,,,,,0,,,,1,,,,,
Abadi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abai Sungai,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abanyom,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abau,small,stable,,,,,,,,,,,34,23,0,2,1,,0,,,,1,,,0,,
Abaza,mid,stable,,,,,,,,,,,63,54,1,11,8,1,0,,,,,,,0,,
Abenaki,small,endangered,,,,,,,,,,,2,38,0,2,2,,0,,,,,,,0,,
Abidji,mid,stable,,,,,,,,,,,2,2,0,0,0,,0,,,,,,,0,,
Abinomn,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abishi,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abkhaz,mid,institutional,"190,110",,"5,985","5,811",Northwest Caucasian,Republic of Abkhazia,Western Asia,,,"20,332",72,142,4,8,4,,1,,,4,3,0.0004,,1,,7
Abom,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abon,small,endangered,,,,,,,,,,,,,,,,,0,,,,5,,,,,
Abron,large,stable,,,,,,,,,,,,,,,,,1,,,,,,,,,
Abu,small,stable,,,,,,,,,,,,,,,,,103,,,,53,,,,,
Abua,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abui,mid,stable,,,,,,,,,,,27,49,0,4,3,,2,,,,,,,0,,
Abun,small,endangered,,,,,,,,,,,816,551,8,230,218,,1,,,,8,,,0,,
Abure,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abureni,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abu’,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Abé,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Aceh,large,endangered,3.5 million,,"12,544","12,520",Austronesian,Indonesia,South-Eastern Asia,,,"26,695",,,,,,,0,,,,,,,1,,
Achagua,small,endangered,,,,,,,,,,,3,14,0,0,0,,0,,,,,,,0,,
Achang,mid,stable,,,,,,,,,,,4,6,0,0,1,,0,,,,,,,0,,
Ache,mid,endangered,,,,,,,,,,,7,9,0,2,1,,0,,,,,,,0,,
Acheron,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Achi,mid,endangered,,,,,,,,,,,0,1,0,0,1,,49,,,,,,,0,,
Acholi,large,stable,,,,,,,,,,,35,44,,,,,0,,,,,,,0,,
Achterhoeks,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Achuar-Shiwiar,small,stable,,,,,,,,,,,26,5,0,2,5,,0,,,,,,,0,,
Achumawi,small,endangered,,,,,,,,,,,6,12,0,1,0,,0,,,,,,,0,,
Aché,mid,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Acipa,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Acroá,small,extinct,,,,,,,,,,,,,,,,,0,,,,,,,,,
3,small,stable,,,,,,,,,,,,,,,,,0,,,,,,,0,,
Adang,small,endangered,,,,,,,,,,,73,51,0,7,11,,0,,,,,,,0,,
Adangbe,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
Adara,mid,stable,,,,,,,,,,,,,,,,,0,,,,,,,,,
Adasen,small,endangered,,,,,,,,,,,,,,,,,0,,,,,,,,,
