text-classification,question-answering,text-generation,token-classification,translation,text2text-generation,fill-mask,text-retrieval,conditional-text-generation,summarization,sequence-modeling,multiple-choice,other,zero-shot-classification,tabular-classification,table-question-answering,structure-prediction,information-retrieval,zero-shot-retrieval,zero-shot-information-retrieval,image-classification,automatic-speech-recognition,speech-processing,conversational,audio-classification,image-to-text,question-generation,sentence-similarity,text-scoring,object-detection,data-to-text,classification,dialog-response-generation,text-mining,paraphrase-mining,image-segmentation,simplification,named-entity-recognition,sentiment-analysis,machine-translation,feature-extraction,visual-question-answering,tabular-to-text,table-to-text,text_classification,time-series-forecasting,paraphrase,computer-vision,symbolic-regression,topic modeling,one liner summary,email subject,meeting title,other-text-to-structured,reasoning,paraphrasing,other-test,code-generation,long-texts,tts,image,image-retrieval,image-captioning,language-modelling,masked-auto-encoding,rendered-language-modelling,video-captionning,neural-machine-translation,extractive-qa,text-generation-other-common-sense-inference,text-generation-other-discourse-analysis,other-text-to-tabular,text-generation-other-code-modeling,other-text-search,Code Generation,Translation,Text2Text generation,text-to-slide,question-pairing,Information Retrieval,Semantic Search,Evaluation of language models,masked-language-modeling,multi-class classification,topic-classification,patents,paraphrase detection,Summarization,cross-language-transcription,language-modeling,grammatical error correction,named-entity-disambiguation,textual-entailment,natural-language-inference,query-paraphrasing,machine translation,text-regression,entity-extraction,unpaired-image-to-image-translation,generative-modelling,Token Classification,caption-retrieval,gpt-3,crowdsourced,sequence2sequence,Inclusive Language,Text Neutralization,text-to-speech,question_answering,super-resolution,image-enhancement,speech-synthesis,data-integration,Language-model,Automatic-Speech-Recognition,influence-attribution,question-answering-retrieval,text,linear-regression,syntactic-evaluation,deduplication,sequence-modelling,abstractive-qa,closed-domain-abstrative-qa,commonsense-reasoning,moral-reasoning,social-reasoning,coreference resolution,commonsense reasoning,text-understanding,text-comprehension,natural-language-understanding,natural-language-generation,text-to-image,image-to-image,MultiLabel Text Classification,commonsense-generation,open-dialogue,story-generation,task-dialogue,style-transfer,text classification,text tagging,named entity recognition,image-generation,Name
234,168,140,64,101,104,66,28,17,46,6,67,34,59,57,58,12,0,0,0,24,12,3,11,6,12,2,9,1,7,1,3,2,3,8,3,1,1,0,1,1,3,4,4,0,0,1,0,3,3,3,3,3,2,0,0,1,0,2,0,0,0,0,0,2,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,English
28,13,16,13,45,3,15,4,8,6,0,1,2,0,0,0,2,0,0,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,German
27,11,13,9,46,3,12,5,7,6,3,1,3,0,0,0,2,0,0,0,0,3,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,French
25,15,14,11,41,4,13,3,7,6,1,1,4,0,0,0,1,0,0,0,0,4,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish
22,17,11,6,39,5,7,3,8,5,0,1,2,0,0,0,2,0,0,0,0,2,2,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Russian
22,19,10,9,22,3,10,3,5,2,0,1,2,0,0,0,0,0,0,0,0,3,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arabic
25,8,5,9,29,2,5,3,5,3,0,0,4,0,0,0,3,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Polish
21,8,8,11,34,2,8,3,5,2,1,1,1,0,0,0,1,0,0,0,0,3,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Portuguese
15,16,10,11,30,2,8,3,5,5,0,1,2,0,0,0,0,0,0,0,0,2,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
23,10,7,8,27,3,6,3,6,4,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkish
