Name,ethnolog_Size,ethnolog_Vitality,L1 speakers,L2 speakers,New wiki,Size of Wikipedia (Articles Column),language family,geographical location,geo location analysis,LDC,Is in Google,wiki pages,universal dependencies,ACL count,Is in XLMR,ELRA,Hugginface,CC Size,Is in Facebook,Joshi Classes,mBERT,HF new,XLMR+mBERT,supevised,Label,12class,NewJoshiClass,Joshi Classes Smooth,Without Huggingface Joshi
Aragonese,Mid,Endangered,"10,000–12,000","18,000–40,000",41971.0,5.607830177353295,Indo-European,Spain,Southern Europe,0.0,0.0,122223.0,0,1.0,0.0,0.0,9,0,0,1,1.0,11.0,1.0,1.9542425094393248,Mid-Endangered,5,3,2,1
Asturian,Mid,Endangered,"351,791",289711,129787.0,6.108243581005468,Indo-European,Asturias,Southern Europe,0.0,0.0,222724.0,0,0.0,0.0,0.0,0,0,0,1,1.0,0.0,1.0,0.0,Mid-Endangered,5,1,1,1
Basque,Mid,Institutional,"750,000",0,396095.0,6.581124408970252,Language isolate,"Basque Autonomous Community, Navarre,  Pyrénées-Atlantiques",Southern Europe,1.0,1.0,785310.0,1,113.0,2.0,27.0,31,0.0278,1,4,1.0,37.0,3.0,2.7708520116421442,Mid-Institutional,7,4,4,4
Bavarian,Large,Stable,"14,000,000",0,31779.0,5.5010866616361955,Indo-European,"Austria, Bavaria, South Tyrol",Western Europe,0.0,0.0,115733.0,0,6.0,0.0,0.0,0,0,1,1,1.0,0.0,1.0,0.0,Large-Stable,10,1,1,1
Bishnupuriya,Mid,Institutional,"120,000",0,25084.0,5.399466041004343,Indo-European,"bangladesh, burma",Southern Asia,0.0,0.0,62473.0,0,0.0,0.0,0.0,0,0,0,1,1.0,0.0,1.0,0.0,Mid-Institutional,7,1,1,1
Breton,Mid,Endangered,"210,000",0,72115.0,5.845643667326153,Indo-European,Brittany,Western Europe,0.0,0.0,137040.0,1,8.0,0.1,0.0,21,0.0024,1,1,1.0,26.0,1.1,2.322219294733919,Mid-Endangered,5,3,2,1
Frisian,Mid,Institutional,0,0,64977.0,6.256602303530793,0,0,0,0.0,1.0,60914.0,1,5.0,0.0,0.0,0,0.0037,1,1,1.0,18.0,1.0,0.0,Mid-Institutional,7,1,1,1
Icelandic,Mid,Institutional,"314,000",0,54560.0,5.726670168482114,Indo-European,"Iceland, Nordic Council",Northern Europe,1.0,1.0,138255.0,1,55.0,3.2,3.0,29,0.0412,1,2,1.0,34.0,4.2,2.518513939877887,Mid-Institutional,7,3,2,2
Irish ,Large,Endangered,"170,000","1,761,420",56903.0,5.745691426703406,Indo-European,"Republic of Ireland, European Union, Northern Ireland",Northern Europe,0.0,1.0,92103.0,1,39.0,0.5,3.0,26,0.0059,1,2,1.0,30.0,1.5,2.462397997898956,Large-Endangered,9,3,2,2
Latin,Small,Endangered,0,0,137042.0,6.133957034798473,Indo-European,Holy See,Southern Europe,1.0,1.0,272477.0,1,116.0,2.5,7.0,19,0.1095,1,3,1.0,22.0,3.5,2.431363764158987,Small-Endangered,1,4,3,3
Lombard,Large,Stable,3.8 million,0,52523.0,5.693489516603003,Indo-European,"Italy, Switzerland",Southern Europe,0.0,0.0,116277.0,0,2.0,0.0,0.0,0,0,0,1,1.0,0.0,1.0,0.0,Large-Stable,10,1,1,1
Luxembourgish,Mid,Institutional,"600,000",0,60929.0,5.780007505766174,Indo-European,"Luxembourg,  Belgium",Western Europe,0.0,1.0,129340.0,0,7.0,0.0,0.0,14,0.0036,0,1,1.0,17.0,1.0,2.1461280356782377,Mid-Institutional,7,3,2,1
Malay,Large,Stable,77 million,0,359058.0,6.549224033604838,Austronesian,"Indonesia,  Malaysia,  Brunei,  Singapore,  ASEAN, ",South-Eastern Asia,2.0,1.0,988368.0,0,120.0,8.5,2.0,21,0.0831,1,3,1.0,28.0,9.5,2.3979400086720375,Large-Stable,10,4,3,3
Minangkabau,Large,Stable,5.5 million,0,225438.0,6.351804034488093,Austronesian,"(West Sumatra), (North Sumatra, Riau, Jambi, Bengkulu, Jakarta and West Java),  Singapore, Netherlands",South-Eastern Asia,0.0,0.0,336963.0,0,1.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,Large-Stable,10,1,1,1
Newar,Mid,Institutional,"860,000",0,72351.0,5.8594265299129775,Sino-Tibetan,"Nepal Province, India",Southern Asia,0.0,0.0,196888.0,0,0.0,0.0,0.0,0,0,0,1,1.0,0.0,1.0,0.0,Mid-Institutional,7,1,1,1
Occitan,Mid,Endangered,"100,000 to 800,000",0,87394.0,5.93907974392837,Indo-European,"Catalonia,  France,  Occitanie,  Provence-Alpes-Côte d'Azur, Auvergne-Rhône-Alpes,  Centre-Val de Loire,  Nouvelle-Aquitaine,  Italy,  Monaco",Southern Europe,0.0,0.0,154722.0,0,9.0,0.0,0.0,13,0.0031,0,1,1.0,16.0,1.0,2.113943352306837,Mid-Endangered,5,4,2,1
Piedmontese,Mid,Endangered,"2,000,000",0,66339.0,5.81860194330391,Indo-European,Italy,Southern Europe,0.0,0.0,100854.0,0,0.0,0.0,0.0,0,0,0,1,1.0,0.0,1.0,0.0,Mid-Endangered,5,1,1,1
Punjabi,Large,Stable,113 million,0,103859.0,6.160954476881318,Indo-European,India,Southern Asia,4.0,1.0,192225.0,0,41.0,0.8,2.0,19,0.0057,1,2,1.0,19.0,1.8,2.3979400086720375,Large-Stable,10,4,3,3
Scots,Large,Stable,"99,200",0,40547.0,5.606972205508572,Indo-European,"United Kingdom, Republic of Ireland",Northern Europe,0.0,0.0,146651.0,0,2.0,0.0,0.0,11,0.0004,0,1,1.0,0.0,1.0,2.041392685158225,Large-Stable,10,3,2,1
Scottish Gaelic,Mid,Institutional,0,57602,15876.0,5.191339212563929,Indo-European,Scotland,Northern Europe,1.0,1.0,31746.0,1,8.0,0.1,0.0,18,0.0021,0,1,0.0,18.0,0.1,2.278753600952829,Mid-Institutional,7,3,2,1
Sicilian,Large,Stable,4.7 million,0,26205.0,5.417969642214737,Indo-European,"Sicily, Calabria",Southern Europe,0.0,0.0,55590.0,0,0.0,0.0,0.0,11,0,0,1,1.0,0.0,1.0,2.041392685158225,Large-Stable,10,3,2,1
Sunda,Large,Stable,42 million,0,61263.0,5.785080578137338,Austronesian,"Banten, West Java, Jakarta, Central Java, Lampung",South-Eastern Asia,0.0,0.0,96606.0,0,2.0,0.0,0.0,11,0,1,1,1.0,0.0,1.0,2.041392685158225,Large-Stable,10,3,2,1
Welsh,Mid,Institutional,999685,0,134925.0,6.126137903765105,Indo-European,"United Kingdom (Wales, England), Argentina",Northern Europe,0.0,1.0,270068.0,1,17.0,0.8,1.0,25,0.0103,1,0,1.0,28.0,1.8,2.414973347970818,Mid-Institutional,7,4,3,1
Yiddish,Mid,Institutional,1.5 million,0,15400.0,5.184237029016371,Indo-European,"Russia,  Bosnia and Herzegovina,  Netherlands,  Poland,  Romania, Sweden, Ukraine, Russia",Eastern Europe,0.0,1.0,43799.0,0,3.0,0.3,1.0,14,0.0015,1,1,0.0,17.0,0.3,2.1760912590556813,Mid-Institutional,7,3,2,1
